ax,ay,az,gx,gy,gz
-1012,-1712,15584,-1823,633,17
-1620,-348,16616,-227,671,1005
-1736,-844,16804,380,-332,-26
-1272,-1240,15848,2444,316,1972
-876,-188,16052,-616,229,-56
-1960,-40,15936,-199,271,-477
-2236,204,16108,-388,-93,-41
-2280,-68,16588,-316,-381,128
-2000,-580,16972,-512,-2813,-837
64,-848,13712,-2280,-1411,-1084
-508,-948,16200,-353,-220,893
-20,-472,15852,-1180,-527,87
-680,-1028,17136,-1025,747,21
-916,-2556,16572,-2267,-925,-620
248,-2648,15608,-3592,-1881,1336
-144,-3776,15756,-1503,-1204,-95
188,-2392,15260,201,-1885,1188
604,-3844,15832,-14,569,865
1092,-3064,17272,2882,-1021,1465
1128,-3880,16260,1219,-508,-488
ax,ay,az,gx,gy,gz
-9920,-584,9804,341,1492,32163
1400,-18524,13460,1605,2878,-8008
-4676,-8104,11664,-2083,2595,-2085
-7396,-11356,9976,-1523,-1701,282
-5612,-10172,10740,-2439,-1287,-979
-2940,-13280,12200,-5675,7559,-5706
-5744,-13684,9436,3029,-14090,8213
-9468,-11664,9904,-3994,24145,-1143
-6776,-11084,9160,1595,-827,-409
-5948,-11476,11240,-1497,3684,10
-8860,-9836,9676,191,1567,818
-7188,-8492,8920,723,5348,3335
-12756,-11440,9288,-1217,2737,-2070
-10556,-9104,7868,-1639,-3491,628
-12788,-5164,6600,-1789,596,5737
-14252,-3796,5520,-726,2835,5780
-14808,-5640,4272,-4997,-1662,6424
-19616,-3596,3472,-3727,-16117,-201
-13328,-3296,7068,-1086,5559,8050
-16096,-92,2636,-2381,6715,-305
-13816,1036,1140,-630,1514,1405
-15032,-1852,-332,-2605,-1169,1650
-17736,-788,1184,18496,-31961,8638
-19876,6280,2720,6457,5844,7945
-14744,-1728,5908,15626,-6785,-10418
-17532,736,6196,829,-1313,-10945
-13868,2668,3136,829,5800,-1583
-13388,-1312,4504,-2982,1160,-7249
-15440,2904,3080,-1990,892,1180
-15096,2896,2180,-3849,85,-399
-14752,2412,1948,-3429,-1417,992
-15208,1764,1472,-3176,799,-2501
-15508,1944,1696,-4394,984,-487
-15308,1676,1612,-4038,2731,2118
-15792,1828,1696,-3864,3787,1540
-16524,1952,1428,-3970,3790,-978
-17268,2012,1372,-4028,2566,-308
-17756,2120,1564,-4121,690,1485
-17452,2084,1476,-4416,-1218,556
-16848,2064,1536,-4617,-2617,-1453
-16072,1800,1516,-4409,-2549,409
-15548,1820,1576,-4047,-1504,2340
-15056,1800,1720,-3798,854,643
-15348,1732,1596,-3525,2488,-484
-15896,1820,1604,-3223,3400,1120
-16672,1948,1484,-3124,3205,1450
-17188,2064,1420,-3345,2196,-903
-17624,2036,1444,-3506,622,-1618
-17376,2016,1488,-3589,-1432,691
-16672,1956,1620,-3643,-2631,1131
-15788,1876,1508,-3614,-2266,-476
-15388,1712,1552,-3244,-874,424
-15260,1728,1636,-2708,1042,2287
-15704,1872,1612,-2504,2644,738
-16464,1952,1540,-2439,3219,-1122
-17024,2048,1492,3235,1811,-1080
-17284,2364,1640,1971,666,-1542
-17132,1980,1592,1577,-1129,82
-16360,2012,1548,1439,-2470,-260
-15944,1928,1600,1499,-2265,-1221
-15572,1780,1700,1850,-1218,-191
-15420,1804,1672,1552,605,741
-15336,2008,1432,5085,542,-297
-17504,1756,1164,642,1547,141
-16512,1772,1952,268,-2585,-527
-16092,1544,932,2142,736,-2119
-16528,2152,960,-1240,1011,143
-17172,2100,752,3294,1187,-1438
-17448,1900,636,1580,-373,-342
-16176,1792,368,898,-787,1240
-16596,1924,-316,2044,598,-560
-16312,2164,-56,-2588,639,770
-16820,2256,-724,4467,779,-1652
-16608,1944,-280,-1847,-411,205
-17844,2308,-1212,5116,-1623,-1069
