ax,ay,az,gx,gy,gz
4308,-6572,14492,-964,822,-886
5304,-6364,15784,2050,212,-1985
3508,-7460,14056,1777,78,-385
5416,-5080,14848,5042,703,-2334
4564,-7720,15192,978,2812,6143
192,-2444,15044,54,3979,2115
2000,-4292,16328,2378,3666,-2835
196,-3112,16072,-458,1726,-11
-1152,-4320,15344,647,-645,-3171
-108,-2536,15680,845,-441,-369
-752,-4428,15764,-58,-501,-1078
-104,-4528,15540,1556,266,-6025
800,-2508,16628,972,2815,-5394
-1296,-3780,15620,-1749,580,-1797
-664,-2328,16392,-619,319,464
-200,-2548,15856,467,172,-223
-1092,-3944,15956,-741,20,-1712
-156,-2640,16356,-1129,743,-247
-1220,-3140,15292,1153,973,-4507
-1476,-1484,15276,2801,1334,-1460
-3504,-1164,14184,8316,6529,678
-4164,-1156,15360,15165,7451,-3883
-4812,3720,10392,4896,-4389,-5271
-4996,7580,8752,4957,1788,-4241
-6580,11276,19136,10388,-2380,4186
-5844,14504,12156,4066,-6922,-5000
-7768,11268,10300,1684,-1224,1702
-9212,12344,9516,7417,3658,5854
-11716,7228,15044,14226,6044,-7223
-4268,14740,11720,-17626,6790,-11778
-8744,15680,2748,-6772,2188,-8055
-14724,9932,6576,-4340,5934,442
-13792,10368,6740,-1745,-5034,-592
-12200,8992,7308,1141,-5650,1630
-12348,6956,4812,-2412,1709,-304
-3396,2128,6212,2553,679,-13871
-14032,7412,5664,-2332,6462,-3072
-11232,8160,7124,-12788,-5448,2810
-14140,4512,6096,-4026,-1847,4707
-15308,5724,10444,-16433,2354,1064
-13352,3792,7444,-3128,-43,-5571
-14740,6024,6884,16812,16014,-3428
-15692,5664,3492,6231,8484,-5773
-19216,1060,2948,-2041,-4155,-3703
-16232,1668,1652,895,3620,-1162
-16340,964,292,-935,1732,-426
-17828,1028,-492,157,938,-216
-19260,3180,-468,-1037,5659,-867
-15672,808,-1632,-1998,877,-321
-15584,500,-2644,-1864,-2610,-1527
-16980,1872,-2288,-1358,2341,-4382
-16192,576,-2024,-3405,691,-4548
-16476,1892,-3728,7828,141,2098
-17052,1900,-3372,-8402,1512,-3544
-16012,2708,-2228,1187,-511,2526
-16012,1256,-2104,-4416,-1061,-1961
-16568,1740,-2472,1130,152,1838
-16192,1728,-2168,-464,3958,2625
-15696,848,-3720,-3140,1854,-545
-15868,428,-4156,294,-460,1541
-16516,624,-4080,-1187,1430,95
-16440,1740,-3388,-843,1226,1039
-16984,852,-3600,269,305,200
-16436,1732,-3428,1927,813,1116
-16096,1560,-4096,-1007,921,-1216
-17040,516,-4448,931,1397,452
-15608,1308,-4800,-806,-616,-134
-15704,684,-4792,976,179,1107
-16260,956,-4632,-1738,1101,-648
-15512,732,-4596,-950,276,-340
-13356,-4028,-2064,5354,4806,1386
-15076,880,-2012,6723,-15469,8932
-21232,1848,-2248,7127,-8820,12008
-19400,2044,-2156,8969,4041,7951
-14204,1356,-1668,9523,-209,-52
-14852,1212,-1940,9159,-12421,-5085
-19508,1432,-2224,9798,-7452,-3022
-17344,1296,-2156,11192,8942,1613
-12724,804,-1636,10814,5001,1624
-14508,952,-1900,8875,-11593,2311
-20664,1752,-2472,8546,-11882,3004
-21188,2076,-2320,9915,503,735
-15424,1512,-1808,10930,3209,-5585
-13404,1052,-1780,10288,-8576,-9741
-17760,1304,-2224,10002,-8661,-4732
-18128,1384,-2060,11192,8354,3325
-13724,1036,-1888,11399,10604,4963
-14384,1076,-1700,10123,-2141,3377
-19600,1716,-2216,9546,-5729,2284
-20960,2048,-2428,10567,4618,-454
-15896,1424,-2064,11605,9229,-6361
-13228,960,-1752,10646,-3800,-8648
-17428,1112,-2152,9499,-8526,-325
-19972,1424,-2148,10316,-844,4452
-18408,1484,-2292,11447,10533,9021
-14728,1148,-1932,11538,9249,8876
-14100,956,-1784,10564,-1781,7893
-17356,1352,-2056,10031,-6831,8100
-18696,1772,-2164,11014,1363,6009
-15508,1480,-1900,12009,4263,-466
-14340,1184,-1836,11349,-6949,-4600
-17752,1396,-2320,10612,-14151,-2593
-20788,1544,-2444,11055,-7860,1688
-18872,1500,-2240,12129,3805,4148
-13928,916,-1776,12190,5211,3828
-13192,804,-1700,10910,-5720,3896
-17488,1332,-2172,10242,-9102,4872
-19668,1848,-2128,10940,-1204,3346
-17976,1688,-2056,11436,1576,805
-15128,1412,-1812,11204,-5410,-4050
-16540,1508,-2292,10509,-13400,-5730
-18884,1524,-2152,11045,-6467,-3436
-16168,1236,-1976,12110,6279,-681
-12984,816,-1652,11464,2643,831
-16168,1100,-1880,10221,-5226,2504
-20260,1820,-2320,10463,-201,2476
-19088,1760,-2316,11395,7353,-1092
-15432,1408,-1840,11485,3465,-6402
-15372,1308,-1984,10669,-7047,-8455
-18136,1400,-2092,10477,-4581,-3759
-16748,1312,-2064,11123,6524,2852
-13852,948,-1736,10631,4733,6474
-14636,976,-1752,10498,2084,5520
-17624,1348,-2068,9857,-2410,7145
-19544,1668,-2188,10233,2160,7817
-17124,1592,-1992,11023,7824,4968
-14028,1224,-1684,11008,1411,-800
-15672,1292,-2048,10207,-9167,-2892
-19112,1548,-2244,10131,-7941,109
-19352,1604,-2228,10806,855,3270
-16336,1260,-1992,10901,3603,4480
-14496,892,-1796,10098,-2386,5083
-16236,1116,-1892,9339,-6769,6861
-17876,1444,-1948,9788,-615,7124
-15848,1444,-1956,10568,3457,2107
-14912,1284,-1888,10209,-4773,-4029
-17684,1616,-2152,9369,-12375,-6054
-19908,1748,-2376,9262,-10696,-4377
-19028,1616,-2196,9904,-1967,-2745
-14876,1132,-1760,10088,1599,-1839
-13656,896,-1760,9120,-3987,188
-16820,1252,-1940,8620,-4115,3230
-18588,1608,-2132,9318,4618,3243
-17068,1504,-2036,9858,7943,-521
-15772,1400,-1840,9422,1570,-4637
-16992,1512,-1916,8743,-5512,-6369
-18492,1656,-2168,8719,-3050,-5294
-16696,1344,-1912,9188,4364,-2745
-13964,984,-1696,8601,2474,720
-19136,1756,-2052,8037,4244,9359
-16272,1544,-2060,8848,8404,6839
-14624,1308,-1696,8578,655,1826
-16624,1308,-1856,8938,3018,-397
-18852,1404,-2188,6338,-10580,7534
-17664,1256,-2028,6573,-9013,4816
-17732,1396,-2024,7140,-986,6809
-15048,1244,-1676,7699,3901,4692
-14348,1164,-1612,7540,-1420,-572
-17416,1464,-2024,7339,-5339,-4884
-19940,1768,-2108,7602,-1570,-7040
-18876,1564,-2156,7887,3051,-7891
-15864,1264,-1784,7439,1317,-7590
-14856,1132,-1652,6275,-4995,-4711
-16708,1264,-1756,5624,-4657,1063
-17188,1380,-1940,5963,3692,6020
-15956,1344,-1784,6155,7188,7131
-15716,1360,-1804,5902,3235,5668
-17496,1536,-1924,5725,-363,3690
-18804,1600,-1944,5938,1046,2099
