ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.9614257812,0.0129394531,-0.0498046875,-7.7709922790,-4.4732823371,-1.3740458488,-1018.3885498046,-586.2236938476,-1.3740458488,-86.9363021850,-0.2147608041,-13.2305612564
1.0161132812,0.0532226562,-0.0805664062,1.9694656372,5.3740458488,3.9694657325,-760.2901000976,118.0450057983,3.9694657325,-84.5716247558,0.3495015621,-23.7033233642
0.9729003906,-0.0097656250,-0.0312500000,-4.9770994186,0.1145038127,3.9541983604,-1412.5389404296,133.0507354736,3.9541983604,-88.0725936889,-0.0006702319,-33.3538475036
1.0056152343,0.1081542968,-0.0976562500,4.3893127441,8.8320608139,12.6870231628,-837.3194580078,1290.4924316406,12.6870231628,-81.7549133300,1.1024856567,-40.2386436462
0.9763183593,0.0344238281,-0.0410156250,-0.6717557430,-1.0839694786,2.6870229244,-925.3530273437,1148.4382324218,2.6870229244,-86.8607101440,1.2111982107,-47.2780227661
0.9580078125,0.0244140625,-0.0876464843,-4.7480916976,-11.5038166046,-12.3206110000,-1547.5904541015,-359.1369628906,-12.3206110000,-84.5748214721,1.0457874536,-53.3614578247
0.9438476562,0.0246582031,-0.0981445312,-6.5114502906,-25.8320617675,-15.0229005813,-2400.9160156250,-3744.4284667968,-15.0229005813,-83.8804092407,0.8354578971,-59.0371665954
0.9721679687,0.0795898437,-0.1469726562,-0.1374045729,-41.4656486511,-25.1221370697,-2418.9228515625,-9178.5019531250,-25.1221370697,-80.2448425292,1.3984876823,-63.9806137084
0.9477539062,0.0903320312,-0.1389160156,5.1068701744,-21.6488552093,3.7633588314,-1749.6674804687,-12015.5839843750,3.7633588314,-80.0827713012,2.2138504981,-67.3160171508
0.9267578125,0.0634765625,-0.1499023437,16.8167934417,-44.8320617675,15.2900762557,454.1733703613,-17890.8261718750,15.2900762557,-80.0374374389,3.1767060756,-71.1295928955
0.9265136718,0.0224609375,-0.2109375000,21.4503822326,-38.3893127441,0.0458015251,3265.2458496093,-22921.7460937500,0.0458015251,-77.1041107177,3.8149536132,-73.6573181152
0.9616699218,0.0393066406,-0.2067871093,35.7175559997,-53.4961814880,4.2290077209,7946.0317382812,-29932.4218750000,4.2290077209,-77.6538391113,5.1039547920,-76.5303878784
0.9458007812,0.0175781250,-0.2180175781,7.9007635116,-33.3511466979,-21.5648860931,8981.4267578125,-34303.0898437500,-21.5648860931,-76.9787368774,4.8297758102,-78.0150680541
0.9824218750,0.1071777343,-0.3229980468,11.7938928604,-56.5648841857,-25.0381679534,10527.0166015625,-41715.9179687500,-25.0381679534,-70.8936614990,5.4940824508,-79.3508682250
0.8806152343,0.0996093750,-0.3417968750,24.3816795349,-39.0152664184,9.5190839767,13722.2353515625,-46828.8671875000,9.5190839767,-67.9874801635,6.6091227531,-79.3045043945
0.9169921875,0.0908203125,-0.4323730468,-1.4122137069,-90.5190811157,1.2900763702,13537.1650390625,-58691.3945312500,1.2900763702,-64.2751464843,6.3255925178,-80.8971633911
1.0012207031,0.1201171875,-0.6232910156,40.9847335815,-56.2442741394,-0.3282442569,18908.2128906250,-66062.2031250000,-0.3282442569,-57.6258850097,7.9909152984,-79.7968521118
0.7792968750,0.0244140625,-0.4924316406,9.8702287673,-32.5343513488,-24.9618320465,20201.7070312500,-70325.8281250000,-24.9618320465,-57.6797599792,7.4393229484,-77.8619995117
0.8029785156,0.0546875000,-0.5336914062,16.5190830230,-48.6870231628,-37.8244285583,22366.5332031250,-76706.2656250000,-37.8244285583,-56.2523231506,7.5124402046,-76.6897506713
