ax,ay,az,gx,gy,gz,thetaG,phiG,thetaA,phiA,theta,phi
0.0698242187,-0.4765625000,0.8496093750,-0.4885496139,-0.1679389381,-2.7480916976,-0.0244274806,-0.0083969469,-2.7480916976,-4.0998263359,-0.6080731868,-0.0902255249
0.0839843750,-0.5239257812,0.8876953125,2.1908397674,-2.5648853778,-3.9847328186,0.0851145076,-0.1366412162,-3.9847328186,-4.6579852104,-1.0973178100,-0.3072600841
0.0666503906,-0.4963378906,0.8688964843,0.5343511581,-1.2213740348,-0.6488549709,0.1118320703,-0.1977099227,-0.6488549709,-3.8106160163,-1.6424658298,-0.4371745586
0.0976562500,-0.4951171875,0.8544921875,2.7862596511,-2.7633588314,-0.1450381755,0.2511450767,-0.3358778715,-0.1450381755,-5.6473469734,-2.0716543197,-0.6767826080
0.0722656250,-0.4931640625,0.8435058593,0.3816793918,-2.4198472499,2.0839693546,0.2702290534,-0.4568702220,2.0839693546,-4.2298793792,-2.6159572601,-0.8664170265
0.0781250000,-0.4938964843,0.8408203125,-1.0839694786,-6.9465646743,-2.0839693546,0.2160305738,-0.8041984558,-2.0839693546,-4.5805306434,-3.2232019901,-1.2810811996
0.1127929687,-0.5026855468,0.8608398437,-5.1603055000,-5.9923663139,-1.0076335668,-0.0419847059,-1.1038168668,-1.0076335668,-6.4554357528,-4.0130090713,-1.6781942844
0.0632324218,-0.5214843750,0.8779296875,-4.1984734535,1.1755725145,0.0992366409,-0.2519083499,-1.0450382232,0.0992366409,-3.5434575080,-4.7513742446,-1.6578965187
0.0490722656,-0.5139160156,0.8698730468,-13.4122133255,-7.6106872558,-3.2519083023,-0.9225190162,-1.4255726337,-3.2519083023,-2.7806711196,-5.9242353439,-2.0532758235
0.1142578125,-0.5354003906,0.8386230468,-10.6641225814,4.1984734535,1.4045801162,-1.4557251930,-1.2156490087,1.4045801162,-6.5509662628,-6.9746284484,-1.9375045776
0.0554199218,-0.5437011718,0.8486328125,-15.4503812789,-7.4045801162,-2.8778627395,-2.2282443046,-1.5858779907,-2.8778627395,-3.1473839282,-8.2440338134,-2.3245265483
0.1074218750,-0.5222167968,0.8364257812,-5.4580154418,0.5190839767,-0.2061068773,-2.5011451244,-1.5599237442,-0.2061068773,-6.2172999382,-8.9819583892,-2.3769469261
0.0766601562,-0.5041503906,0.8823242187,0.8625954627,-0.5572519302,3.5038168430,-2.4580154418,-1.5877862930,3.5038168430,-4.3141093254,-9.3530607223,-2.4429955482
0.0878906250,-0.5329589843,0.9006347656,0.7633587837,-2.9160306930,-0.2748091459,-2.4198474884,-1.7335878372,-0.2748091459,-4.8006806373,-9.7385244369,-2.6330347061
0.0649414062,-0.5615234375,0.8857421875,5.7175574302,5.3664121627,5.6717557907,-2.1339695453,-1.4652671813,5.6717557907,-3.5434296131,-9.9096651077,-2.3882884979
0.0524902343,-0.5148925781,0.8229980468,9.0076332092,3.0305342674,1.1297709941,-1.6835879325,-1.3137404918,1.1297709941,-3.0949354171,-9.9096803665,-2.2539253234
0.0856933593,-0.5139160156,0.8264160156,2.9160306930,-5.1755723953,1.3587785959,-1.5377863883,-1.5725190639,1.3587785959,-5.0322170257,-10.2033748626,-2.5630941390
0.1164550781,-0.4777832031,0.8071289062,4.6488547325,-1.2595419883,1.0152671337,-1.3053436279,-1.6354961395,1.0152671337,-7.0776410102,-10.3788232803,-2.7151026725
0.1120605468,-0.4550781250,0.8225097656,1.8167939186,-2.4961831569,1.7709923744,-1.2145038843,-1.7603053092,1.7709923744,-6.7982673645,-10.6568698883,-2.9190790176
0.1250000000,-0.4675292968,0.8593750000,-5.4809160232,-7.0152673721,0.9007633209,-1.4885497093,-2.1110687255,0.9007633209,-7.2812380790,-11.2782297134,-3.3500704765
0.1120605468,-0.4858398437,0.8649902343,-2.8702289581,-4.9847326278,4.5038166046,-1.6320611000,-2.3603053092,4.5038166046,-6.4444546699,-11.7756767272,-3.6562101840
0.1184082031,-0.4624023437,0.8400878906,-5.1145038604,-6.1145038604,2.0992367267,-1.8877863883,-2.6660304069,2.0992367267,-7.0391592979,-12.3626108169,-4.0234799385
0.1203613281,-0.4860839843,0.8601074218,-4.1908397674,-10.8931293487,-0.6335877895,-2.0973284244,-3.2106869220,-0.6335877895,-6.9460177421,-12.9054164886,-4.6156940460
0.1586914062,-0.4833984375,0.8520507812,-6.7404580116,-3.7328243255,-0.8244275093,-2.4343514442,-3.3973281383,-0.8244275093,-9.2015295028,-13.5605974197,-4.8903193473
0.1157226562,-0.4841308593,0.8693847656,-6.5267176628,-4.6488547325,-0.2442748069,-2.7606873512,-3.6297707557,-0.2442748069,-6.6333117485,-14.1871662139,-5.1529731750
0.1440429687,-0.4929199218,0.8632812500,-3.3740458488,-6.1908397674,-1.2519084215,-2.9293897628,-3.9393127441,-1.2519084215,-8.2446985244,-14.6565141677,-5.5181593894
0.1474609375,-0.4841308593,0.8474121093,-3.9007633209,-3.7786259651,-0.9694656372,-3.1244277954,-4.1282439231,-0.9694656372,-8.5920505523,-15.1419782638,-5.7647900581
0.1606445312,-0.5134277343,0.8666992187,-6.0687022209,-5.5954198837,-4.5038166046,-3.4278628826,-4.4080147743,-4.5038166046,-9.0607061386,-15.7408990859,-6.1048841476
0.1289062500,-0.5329589843,0.8876953125,-1.7557251453,0.9923664093,-1.5190839767,-3.5156490802,-4.3583965301,-1.5190839767,-7.0967664718,-16.1264476776,-6.0760960578
0.1220703125,-0.5061035156,0.8410644531,-1.7633588314,-0.6259541988,-2.7786259651,-3.6038169860,-4.3896942138,-2.7786259651,-7.0888547897,-16.5058002471,-6.1270232200
0.1235351562,-0.5004882812,0.8449707031,-0.4045801639,4.5343513488,-2.3816792964,-3.6240460872,-4.1629767417,-2.3816792964,-7.1696028709,-16.8029861450,-5.9256916046
0.1330566406,-0.5168457031,0.8503417968,6.4274806976,-0.7480916023,-5.6641221046,-3.3026721477,-4.2003812789,-5.6641221046,-7.6160001754,-16.7716770172,-5.9961543083
0.1357421875,-0.4846191406,0.8654785156,3.0000000000,2.9923663139,-2.4274809360,-3.1526720523,-4.0507631301,-2.4274809360,-7.7923913002,-16.8682537078,-5.8854537010
0.1269531250,-0.4814453125,0.8564453125,-0.5419847488,-6.5572519302,-1.4732824325,-3.1797711849,-4.3786258697,-1.4732824325,-7.3627109527,-17.1389884948,-6.2363042831
0.1674804687,-0.4914550781,0.8461914062,-3.7938930988,-3.8702289581,-7.0534353256,-3.3694658279,-4.5721373558,-7.0534353256,-9.7121267318,-17.5755424499,-6.4954619407
0.1271972656,-0.5073242187,0.8591308593,4.7022900581,3.6946563720,3.1755726337,-3.1343512535,-4.3874044418,3.1755726337,-7.2651896476,-17.5994396209,-6.3298182487
0.1560058593,-0.4865722656,0.8281250000,2.1297709941,-5.8473281860,-3.9465648651,-3.0278627872,-4.6797709465,-3.9465648651,-9.2255868911,-17.7431354522,-6.6742529869
0.1474609375,-0.4770507812,0.8381347656,-2.2137403488,-0.3129770994,-3.8931298255,-3.1385498046,-4.6954197883,-3.8931298255,-8.6935319900,-18.0822200775,-6.7299742698
0.1748046875,-0.4785156250,0.8583984375,-1.4274809360,-7.2290077209,-2.9847328186,-3.2099237442,-5.0568699836,-2.9847328186,-10.0857458114,-18.3634262084,-7.1513109207
0.1591796875,-0.4592285156,0.8591308593,2.3435113430,0.9007633209,-0.1832061004,-3.0927481651,-5.0118317604,-0.1832061004,-9.2801866531,-18.4358367919,-7.1497511863
0.1762695312,-0.5058593750,0.8793945312,-0.9770992279,-6.4961833953,-2.1679389476,-3.1416032314,-5.3366408348,-2.1679389476,-9.8566627502,-18.7034721374,-7.5222024917
