ax,ay,az,gx,gy,gz
-4384,5332,16412,555,16053,10592
-6188,7644,14600,13001,14165,15834
-7428,8412,14236,893,7779,15694
-5176,8136,11500,7702,5150,8779
-4816,10264,10320,8700,11192,10776
-4948,9936,11664,5304,1694,4397
-5388,12312,8892,1640,5573,5066
-5116,12608,7780,-1891,1896,409
-4976,13252,8236,532,-2703,-82
-4720,12640,8524,-4364,-9128,1295
-4276,13080,8668,-5432,-3662,1467
-2792,12788,9728,3205,-4322,2635
-2256,9828,11492,-3054,2276,2179
-2364,11388,9336,-1137,-1932,-336
-3976,12824,11528,1954,-3608,283
-1632,9296,9264,2483,-20366,-14056
-1644,4024,14536,-1424,-21558,-15544
-3160,7896,10152,2902,-14151,-17765
-5780,7308,11256,1748,-17086,-19133
-7608,8928,9964,-2139,-14455,-23236
-9892,11180,10168,-2777,-5025,-19859
-8904,9368,9400,-7331,-7244,-20383
-11120,10016,11984,1173,3161,-18123
-10372,9780,9868,202,-1963,-13711
-9660,9508,9992,1255,1904,-11171
-9196,9808,10940,1197,3958,-4629
-12456,10328,12684,-66,5666,2121
-9888,10160,10956,8529,10242,4520
-9280,8344,2556,9740,9719,10511
-7424,-504,-1264,6931,9169,2185
-15288,-3928,19344,-17015,-9938,-8014
-19844,6236,14176,-14287,-2007,3242
-13132,7824,16468,3372,-6732,4722
-5588,7752,5824,8660,-5375,6978
-12336,8100,14944,1129,3598,16713
-2908,4828,4644,-5715,-175,8836
1240,5976,16284,-11032,4017,-15485
-11548,10804,15168,-31185,-10267,-6490
1408,-4484,3496,-7651,8577,-11193
-4292,-13156,13760,-20634,-12355,-3998
-18944,-236,21560,-8227,-1535,16198
-8488,-1756,11756,4246,-10948,1450
-7380,-1232,14356,-11249,-3646,-6126
-7560,-8192,11852,-3191,646,-4735
-632,348,18324,6008,812,-4657
-6236,1552,15144,5348,-1091,893
-5960,1352,15196,-970,-5519,-5447
-7864,-1220,15740,3062,887,-1565
-3548,720,14024,1364,-2774,-3857
-5148,1888,16616,1724,-2186,-1712
-4624,-676,15508,1871,-3054,1327
-1944,-3880,16956,2679,-4262,905
-2444,-552,19280,-2365,6550,984
-420,-2436,12040,355,16342,7544
-4700,-296,9668,-4605,1984,-11156
-5500,-4280,15720,-3952,1610,-1151
-3324,-1684,14100,-320,-173,-209
-5644,-3844,15508,185,58,42
-4296,-3472,14220,-918,-1210,-289
-5728,-3460,15876,-1381,448,-598
-5048,-3788,15400,-375,1498,139
-7176,-3788,15908,-502,-1685,31
-6128,-2988,16228,3114,709,1006
-4968,-2784,14844,1021,822,3056
-2712,-2268,12992,-9,1420,467
-4700,-2140,15516,-2794,3553,2892
-6404,-4024,14748,-5383,-986,9145
-9404,-2572,14220,-1821,-7105,10040
-7292,-4572,15508,-2050,331,-556
-4912,-2804,14576,-612,964,363
-6392,-3312,14640,1739,724,1302
-7232,-3404,14920,-32,-2003,-1209
-7120,-2324,15288,1026,577,171
-6604,-1932,15788,-3195,205,-139
-5328,-5312,14288,-3568,-132,-652
-4148,-3020,13544,-10872,1434,983
-8620,-6216,14788,-2245,-3453,1365
-4940,-7144,14208,-1539,-1647,-2073
-4648,-6536,14080,344,-1118,-751
-3756,-5108,14432,1241,-1982,-193
-4776,-6476,14344,2586,-2354,-452
-4372,-5108,13584,4917,-4631,-278
-2624,-5136,14736,5839,-6241,-603
-1636,-2820,17392,2166,-2798,-397
-2016,-3380,15404,2944,-3951,-373
188,-2724,15484,3802,-5478,842
-712,600,16196,5640,-6353,1176
-152,-76,18568,1773,-3749,-272
-1992,3280,16292,-5614,7294,-3185
1904,-2400,12736,-1405,3207,163
-5380,1992,15596,-741,4229,-39
-324,-3052,16284,-478,-460,-510
-1072,916,15736,-2248,87,-1145
916,-2332,14536,2876,-1618,631
-3500,1456,16832,-158,-1319,-200
1260,-2056,15948,-4764,-4012,-774
-100,-2912,16564,-5741,-1640,-994
-1012,-2704,16424,-1282,-2663,-181
1856,-5980,17324,-1194,741,304
1028,-4264,15620,-455,6861,2518
-76,-3188,15708,522,5464,1892
-528,-3100,14536,324,6387,1070
-4028,-6012,15936,-5446,4270,-266
-2344,-3992,14620,-465,225,112
-4140,-4868,15416,-517,-483,-354
-1968,-6580,14172,3375,-382,476
-2160,-3976,15956,3375,754,738
-8052,-8436,21244,3831,-612,1499
-5140,-4708,21436,2228,712,-703
-4080,-6004,17652,2774,2043,-4095
-5068,-3144,13268,-1478,-2105,-6640
-4520,-3760,13360,-9518,-3814,-6772
896,-10200,12912,-640,1359,-8706
-4732,-5612,10076,-815,12004,-17268
-2988,-6524,12872,-5191,11088,-21093
-2276,-6776,15464,-408,10917,-16037
-7476,-8340,20804,7180,12555,-13177
-5656,-6552,18744,10920,5685,-4736
-3924,-3492,14008,10362,3984,-5105
-3220,-1156,11084,7414,5323,-7360
-4088,-2416,11804,8690,5418,-9756
