ax,ay,az,gx,gy,gz
-1993,-34,-630,-36,-4,-2
-1991,-32,-625,-36,-11,3
-1993,-37,-640,-34,-4,0
-1982,-32,-618,-33,-10,-3
-1998,-27,-641,-33,-3,0
-1999,-27,-638,-34,-12,1
-1998,-31,-641,-31,-2,-3
-1996,-28,-623,-35,-8,1
-1988,-32,-641,-35,-8,0
-1994,-33,-616,-36,-6,0
-1987,-27,-645,-31,-11,-3
-1990,-39,-637,-36,-2,-3
-2004,-28,-634,-39,-6,0
-1995,-26,-642,-36,-6,1
-1982,-34,-630,-33,-7,-3
-1998,-34,-633,-36,-3,-2
-1972,-37,-626,-35,-13,0
-1995,-32,-643,-37,-5,4
-1982,-34,-621,-37,-6,-1
-2009,-28,-626,-33,-3,1
-1994,-28,-638,-33,-9,-1
-1991,-26,-632,-34,-1,1
-1995,-35,-629,-34,-7,-2
-1996,-35,-639,-32,-7,-2
-1986,-31,-624,-37,-6,-5
-1983,-27,-640,-32,-13,-4
-1999,-34,-642,-32,-1,-5
-1987,-45,-641,-29,-4,-3
-1992,-35,-642,-35,-7,-4
-1992,-31,-637,-34,-5,0
-1989,-32,-630,-32,-9,-1
-1984,-33,-626,-35,-5,-3
-1998,-37,-637,-33,-4,-1
-1981,-39,-639,-37,-7,1
-1996,-32,-638,-38,-4,0
-1988,-31,-625,-34,-12,-3
-1983,-34,-648,-33,-5,-2
-2002,-44,-632,-32,-6,-1
-1997,-26,-630,-32,-4,-2
-2001,-23,-638,-34,1,-2
-1996,-34,-623,-35,-9,-2
-1999,-37,-639,-38,-8,-1
-1986,-43,-642,-37,-9,-1
-1993,-31,-644,-32,-9,-2
-1985,-17,-627,-33,-11,-3
-1994,-33,-626,-36,-7,1
-2005,-41,-640,-39,-6,-2
-1987,-24,-627,-36,-9,-2
-2000,-32,-633,-35,-5,-3
-1992,-34,-638,-33,-5,-1
-1996,-38,-631,-34,-8,-2
-1990,-26,-641,-39,-7,-2
-1985,-39,-643,-36,-7,-1
-1990,-25,-627,-35,-5,1
-1996,-25,-624,-40,-5,-4
-1994,-47,-627,-37,-9,1
-1984,-36,-628,-37,-4,-4
-1993,-33,-630,-34,-6,-2
-1997,-39,-631,-35,-5,2
-1998,-38,-640,-34,-8,-4
-1993,-31,-623,-39,-10,1
-1994,-40,-651,-34,-6,1
-1980,-24,-626,-35,-11,-3
-1992,-35,-628,-34,-2,-6
-1974,-30,-639,-34,-13,0
-1995,-22,-629,-39,-3,-2
-1987,-33,-625,-34,-9,0
-1984,-44,-637,-35,-7,2
-1987,-30,-631,-35,-7,0
-1978,-35,-633,-38,-8,-3
-1990,-22,-619,-38,-5,-5
-1981,-39,-644,-35,-3,1
-1977,-27,-640,-34,-10,1
-1993,-37,-630,-32,-5,1
-1980,-32,-633,-37,-13,0
-1996,-38,-633,-34,-6,0
-1991,-27,-629,-31,-12,0
-1998,-39,-637,-34,-8,0
-1991,-34,-632,-34,-6,-4
-1995,-36,-630,-37,-8,-4
-1988,-36,-632,-35,-8,2
-1994,-33,-622,-32,-6,0
-1981,-44,-638,-39,-9,-2
-1995,-34,-628,-36,-10,-1
-1996,-34,-652,-33,-4,-2
-1986,-39,-618,-36,-9,-3
-1991,-33,-632,-33,-7,-2
-1988,-44,-643,-31,-5,-5
-1997,-38,-629,-32,-9,-3
-1979,-33,-647,-39,-9,-2
-1989,-32,-633,-33,-4,0
-1976,-40,-636,-36,-9,-2
-1989,-28,-635,-35,-8,-2
-1985,-33,-647,-37,-5,0
-1998,-23,-639,-36,-9,-3
-1987,-31,-626,-36,-3,0
-1993,-33,-632,-34,-6,-2
-1987,-36,-637,-36,-5,0
-1980,-34,-629,-38,-11,-1
-1996,-24,-638,-34,-11,2
-1990,-39,-628,-35,-5,1
-1989,-26,-627,-37,-5,-3
-1989,-39,-631,-33,-6,-3
-1996,-32,-626,-33,-7,-1
-1982,-41,-636,-35,-10,1
-1993,-38,-631,-36,-3,0
-1994,-28,-634,-34,-1,-1
-1990,-31,-615,-36,-10,-5
-2000,-35,-631,-38,-3,-2
-1992,-38,-637,-37,-9,1
-1991,-21,-644,-36,-2,1
-1993,-28,-629,-34,-4,2
-1989,-34,-632,-35,-7,1
-1981,-25,-624,-35,-10,-2
-1989,-39,-631,-37,-7,1
-1991,-31,-634,-33,-6,-1
-1991,-34,-625,-34,-2,-1
-1993,-33,-631,-34,-4,-7
-1995,-36,-641,-32,-7,-1
-1988,-33,-648,-33,-2,-3
-1989,-33,-634,-34,-8,-5
-1986,-29,-634,-31,-8,-2
-1990,-35,-629,-38,-6,-2
-2001,-45,-619,-36,-5,-2
-1992,-30,-637,-35,-9,-4
-1988,-41,-642,-36,-4,0
-1995,-33,-632,-36,-5,1
-1989,-29,-644,-31,-8,-2
-1988,-28,-641,-33,-6,0
-1990,-20,-639,-35,-10,1
-2001,-42,-619,-34,-2,-5
-1992,-30,-629,-28,-6,-2
-1982,-26,-627,-33,-9,-1
-1995,-27,-620,-34,1,2
-1990,-25,-645,-35,-7,-7
-1983,-32,-634,-37,-5,-2
-1986,-31,-636,-32,-6,-1
-1990,-30,-637,-35,-6,-1
-1999,-28,-631,-37,-9,-5
-1975,-31,-635,-40,-8,-1
-1990,-41,-630,-35,-7,0
-1996,-30,-629,-35,-8,-1
-1979,-32,-649,-33,-7,0
-1988,-33,-634,-35,-9,0
-1985,-30,-634,-33,-8,0
-1986,-36,-632,-35,-6,-1
-1983,-30,-634,-36,-9,0
-2001,-26,-648,-36,-3,-1
-1985,-25,-638,-35,-5,1
-1998,-38,-648,-36,-7,1
-1995,-34,-632,-34,-5,-3
-1981,-38,-632,-36,-11,1
-1983,-34,-637,-36,-6,-3
-2007,-38,-641,-34,-6,1
-1987,-33,-636,-34,-6,-2
-1980,-28,-628,-36,-12,0
-1994,-34,-643,-32,-8,-4
-1992,-27,-640,-33,-7,-5
-1990,-27,-645,-34,-3,-3
-1982,-36,-632,-33,-6,1
-1997,-34,-631,-38,-4,0
-1994,-34,-625,-36,-3,1
-1999,-30,-627,-34,-12,-3
-1995,-39,-627,-36,-5,-4
-1991,-34,-624,-37,-8,-6
-1990,-39,-637,-34,-9,-1
-1984,-26,-633,-34,-6,2
-1997,-32,-640,-35,-3,0
-1992,-32,-634,-34,-11,-4
-1998,-29,-638,-37,0,1
-1991,-28,-651,-35,-9,-4
-1999,-26,-633,-36,0,-2
-1994,-34,-634,-36,-3,-1
-1992,-29,-635,-33,-9,0
-1985,-34,-645,-34,-8,2
-1986,-41,-636,-37,-3,1
-1999,-23,-656,-34,-2,-1
-1997,-34,-629,-31,-11,-1
-1994,-31,-637,-36,-6,0
-2000,-19,-641,-32,-3,-3
-1987,-24,-647,-35,-6,-2
-1987,-29,-638,-36,-8,-2
-1996,-36,-620,-34,-9,2
-1994,-34,-627,-33,-4,0
-1987,-44,-633,-34,-6,-3
-1984,-35,-632,-33,-8,-4
-1998,-38,-632,-38,-6,-1
-1991,-38,-634,-32,-3,-4
-1986,-35,-626,-34,-10,-3
-1996,-38,-646,-36,1,-1
-1990,-25,-649,-33,-5,-3
-1985,-37,-625,-36,-10,-1
-1993,-29,-631,-36,-2,1
-1982,-32,-646,-34,-10,-4
-1989,-27,-634,-32,-8,-1
-1997,-32,-636,-34,-3,0
-1988,-43,-640,-35,-8,0
-1987,-19,-619,-38,-11,-1
-1994,-29,-638,-35,-7,-4
-1993,-25,-625,-34,-3,-3
-1989,-31,-640,-39,-6,-5
-1987,-34,-631,-34,-7,-5
-1997,-30,-634,-33,-10,5
-1992,-32,-636,-35,-3,0
-1990,-22,-639,-38,-14,-2
-1979,-36,-632,-34,-5,2
-1988,-42,-636,-36,-1,-2
-1971,-29,-623,-33,-11,-2
-1992,-29,-629,-37,1,3
-1997,-36,-641,-33,-8,-1
-1980,-28,-644,-38,-6,-3
-1986,-29,-638,-35,-2,-5
-1988,-34,-639,-37,-4,0
-1986,-33,-643,-37,-7,-2
-1987,-44,-640,-36,-7,-4
-1992,-30,-651,-35,-3,1
-1990,-30,-642,-34,-9,-2
-1996,-47,-637,-34,-8,1
-1991,-42,-633,-33,-8,1
-1992,-31,-630,-34,-15,1
-1983,-32,-632,-38,-8,1
-1987,-27,-624,-33,-8,-2
-2009,-25,-624,-34,0,-1
-1981,-39,-634,-37,-10,-1
-1983,-35,-640,-35,-13,1
-1995,-38,-640,-33,-2,-4
-1995,-31,-635,-36,-10,0
-2006,-27,-642,-35,1,0
-1987,-48,-639,-31,-12,2
-1991,-34,-639,-34,-3,-4
-1995,-27,-638,-35,-2,0
-1983,-36,-632,-35,-10,0
-1998,-31,-626,-34,-2,-2
-1987,-33,-641,-34,-5,-5
-1988,-34,-635,-35,-2,-4
-1980,-32,-635,-33,-8,0
-1994,-31,-637,-35,-1,-1
-1995,-29,-636,-37,-11,-3
-1988,-32,-636,-40,-15,-3
-1995,-36,-645,-35,-3,-4
-1988,-38,-643,-36,-7,-2
-1986,-30,-625,-35,-7,-4
-1991,-33,-642,-36,-9,0
-1998,-27,-631,-37,-11,-1
-1997,-29,-640,-33,-11,1
-1985,-25,-629,-35,-7,0
-1992,-31,-634,-36,-3,-3
-1991,-33,-638,-34,-8,-5
-1997,-29,-641,-36,-7,0
-1982,-25,-629,-38,-7,0
-1991,-41,-633,-36,-6,2
-1986,-38,-639,-35,-7,-1
-1990,-46,-635,-37,-4,-1
-1995,-32,-634,-35,-8,1
-1999,-22,-629,-31,-5,-3
-1992,-28,-633,-30,-8,-3
-1985,-34,-634,-33,-1,1
-1988,-36,-632,-36,-8,0
-1985,-29,-624,-36,-7,1
-1981,-35,-625,-37,-9,0
-1981,-26,-625,-36,-8,-5
-1992,-32,-640,-36,-6,-1
-1983,-33,-639,-39,-10,-2
-1978,-24,-634,-36,-7,0
-1990,-38,-636,-34,-7,-1
-1998,-39,-629,-40,-10,3
-1993,-37,-642,-33,-7,-4
-1994,-44,-629,-32,-7,-1
-1992,-28,-635,-35,-9,-3
-1997,-38,-634,-35,-7,-3
-1998,-33,-632,-36,-9,-1
-2000,-27,-634,-37,-5,-3
